unique_trial_ID,ID,season,trial,task,path_efficiency,directional_path_efficiency,perc_backward,perc_backward_buffer,shrew_path_length,correct_path_length,total_deviation_sequences,first_deviation_point,first_deviation_length,total_deviations,total_deviation_length
winter_20210912-1_T3,20210912-1,winter,T3,maze,0.9787234042553192,0.9080118694362018,0.1037234042553191,0.0670731707317073,116.19613709732796,145.3598829192118,1,7,2.5728663307045787,1,2.5728663307045787
winter_20240225-4_T10,20240225-4,winter,T10,maze,0.3488888888888889,0.5518867924528302,0.5288888888888889,0.0677290836653386,335.6043149441441,140.40300250833616,7,1,204.7055796992644,7,240.6885560450492
winter_20210912-3_T7,20210912-3,winter,T7,maze,0.9523809523809524,0.8697318007662835,0.0439560439560439,0.021551724137931,113.70674483342331,144.3451506637849,2,7,2.1868266676257693,2,4.706815063758931
winter_20240225-2_T8,20240225-2,winter,T8,maze,0.943661971830986,0.8587786259541985,0.0774647887323943,0.0890688259109311,109.39141181877253,141.91383081030477,3,1,2.234787155547505,3,6.473099287491332
spring_20240526-2_T5,20240526-2,spring,T5,maze,0.7397849462365591,0.8688046647230321,0.2623655913978495,0.0716510903426791,168.9984286522614,139.71344411196625,3,2,34.94816113359332,3,38.16698937729811
spring_20240526-2_T9,20240526-2,spring,T9,maze,0.2963224893917963,0.58984375,0.637906647807638,0.2524752475247525,490.3762153354397,139.71344411196625,11,1,1.344219850824587,11,330.771949439609
spring_20240520-2_T10,20240520-2,spring,T10,maze,0.8801652892561983,0.8132780082987552,0.0041322314049586,0.0050761421319796,105.07904214855692,140.86161401057473,5,1,6.424961588096901,5,14.360676534203364
winter_20210910-1_T2,20210910-1,winter,T2,maze,0.2560532687651332,0.5170940170940171,0.5750605326876513,0.0763358778625954,451.51692625920975,145.33976095179997,5,1,275.2049129330549,5,328.17776026763835
summer_20210802-5_T6,20210802-5,summer,T6,maze,0.6845794392523364,0.8591065292096219,0.3200934579439252,0.0808823529411764,117.8279932441538,142.5899918509421,4,1,1.6905038914566528,4,8.504721891544497
winter_20210803-1_T1,20210803-1,winter,T1,maze,0.1237960339943342,0.2369165487977369,0.5994334277620397,0.2061611374407582,598.6555762637663,144.7887350622764,12,1,412.6682457106692,12,454.2079497552668
spring_20210913-2_T3,20210913-2,spring,T3,maze,0.3193103448275862,0.6,0.5413793103448276,0.0993227990970654,278.2875942180135,145.28491786202633,5,1,154.15040097687384,5,162.66050742743255
summer_20210803-4_T3,20210803-4,summer,T3,maze,0.8160741885625966,0.9338487972508592,0.4003091190108191,0.3063178047223995,282.0301904734734,141.34420608281494,12,5,0.7048109428854928,12,50.4347200425077
winter_20210913-1_T7,20210913-1,winter,T7,maze,0.903448275862069,0.8768844221105527,0.0850574712643678,0.079155672823219,117.7000933447167,146.4014242694251,5,3,1.8027686437360777,5,13.52171638163003
spring_20240524-2_T4,20240524-2,spring,T4,maze,0.2598727459429372,0.3972973795538241,0.6846767305496109,0.5175370514099863,5374.821475438844,141.5515751736565,45,1,66.09922230403626,45,4532.037345803943
summer_20210802-5_T7,20210802-5,summer,T7,maze,0.4661425763802037,0.5689981096408318,0.6219403251742005,0.2995927865037813,825.2381852390761,142.590312052647,10,2,26.90971409691289,10,380.0917081851403
winter_20240223-1_T2,20240223-1,winter,T2,maze,0.1707085116500237,0.43125,0.6956728483119353,0.1533742331288343,587.6723970941707,139.99149385263405,10,1,311.3912683345427,10,441.2961724824908
spring_20240520-1_T2,20240520-1,spring,T2,maze,0.4344188825814162,0.5789817232375979,0.54227666567075,0.3840277777777778,490.135664837348,143.15171736062905,26,3,4.685147927502457,26,152.37582617889993
winter_20240303-3_T9,20240303-3,winter,T9,maze,0.0210081190798376,0.3073794305636258,0.9417794316644114,0.1094276094276094,904.04219178645,141.49512609080858,2,1,721.3739366990917,2,773.3122156331929
winter_20240228-2_T3,20240228-2,winter,T3,maze,0.6476002629848784,0.8468677494199536,0.4332675871137409,0.2307692307692307,243.9035526633764,140.53090012775414,3,1,95.6720902228805,3,97.30492541227096
spring_20210803-1_T5,20210803-1,spring,T5,maze,0.968944099378882,0.937888198757764,0,0,119.40922285912868,146.59838577930762,3,2,2.3445946375017996,3,5.375118175568149
winter_20240228-2_T4,20240228-2,winter,T4,maze,0.9834254143646408,0.9643463497453312,0.18646408839779,0.0926517571884984,125.5877312899079,140.4345958369238,1,12,0.18641339769732768,1,0.18641339769732768
spring_20210803-3_T5,20210803-3,spring,T5,maze,0.1710526315789473,0.4501160092807424,0.6455592105263158,0.010204081632653,384.2389556638983,146.78773471926272,7,1,243.27325906758844,7,287.0912756034132
spring_20210803-4_T5,20210803-4,spring,T5,maze,0.8454545454545455,0.8956780923994039,0.2375,0.1800818553888131,177.228307175214,145.94111112859028,6,2,27.368754473387614,6,33.294488131140675
winter_20240225-1_T9,20240225-1,winter,T9,maze,0.3407234539089848,0.5763440860215053,0.4574095682613769,0.0530035335689045,340.4821674995589,142.14576367793927,9,1,189.19179636453052,9,241.2723718193933
winter_20210913-1_T10,20210913-1,winter,T10,maze,0.9225352112676056,0.8534798534798534,0.0387323943661971,0.0450819672131147,113.15969878835314,145.19012471866623,4,2,1.7288623999822317,4,9.454439600467502
winter_20210802-8_T1,20210802-8,winter,T1,maze,0.4350615827125894,0.6753916877755887,0.7379600265506305,0.5911517492049069,2437.6940609378157,145.33976095179992,53,5,5.055901751628559,53,1370.6911532621712
spring_20210912-1_T9,20210912-1,spring,T9,maze,0.3131578947368421,0.5594125500667557,0.5072368421052632,0.0647321428571428,344.0572264428384,147.3355204891121,2,1,225.3720193129063,2,226.32652722465284
winter_20210912-3_T3,20210912-3,winter,T3,maze,0.3369883040935672,0.5368421052631579,0.6875,0.4730195177956372,652.8313129318685,145.30795537131806,16,2,1.1781339931800343,16,360.9937382055697
summer_20210802-2_T9,20210802-2,summer,T9,maze,0.0639003629991238,0.3966844286560094,0.8942921517085993,0.3346573982125124,624.8715652446397,141.78476413447822,5,1,417.14437822772015,5,484.4018313934144
winter_20210912-3_T8,20210912-3,winter,T8,maze,0.6330935251798561,0.652027027027027,0.290167865707434,0.2341269841269841,175.26415807631426,145.3771698259911,7,1,49.04873264424353,7,69.80069864090484
winter_20240228-3_T9,20240228-3,winter,T9,maze,0.966183574879227,0.9111747851002864,0.1570048309178744,0.1239669421487603,116.38560086569048,139.12975572452282,3,1,3.4639618329851434,3,7.024926078981848
summer_20210803-4_T4,20210803-4,summer,T4,maze,0.9860335195530726,0.9637681159420288,0.0363128491620111,0.0376266280752532,118.37153767906555,142.0206029468835,2,2,2.124211710515722,2,2.563191233247111
spring_20240524-3_T10,20240524-3,spring,T10,maze,0.9273182957393484,0.8897243107769424,0,0,110.1437298693654,139.48397829703362,6,1,2.844819202756163,6,8.196805105391153
winter_20210803-3_T9,20210803-3,winter,T9,maze,0.8997050147492626,0.8356164383561644,0.1386430678466076,0.1159420289855072,111.29441722912183,145.398981751047,5,1,6.553943170401071,5,18.504745883997177
winter_20240228-1_T8,20240228-1,winter,T8,maze,0.5758706467661692,0.7543186180422264,0.3519900497512437,0.1108597285067873,190.2671185925319,141.08089576763257,5,1,3.10220556279812,5,69.0968445215683
summer_20210802-7_T2,20210802-7,summer,T2,maze,0.8990318118948825,0.977391304347826,0.2047026279391424,0.1177394034536891,128.98108548747476,145.2939588117974,1,9,1.551250153895484,1,1.551250153895484
summer_20210803-4_T6,20210803-4,summer,T6,maze,1,0.9883720930232558,0.0398724082934609,0.0403225806451612,118.77020189064508,141.11476664327273,0,NA,NA,0,0
winter_20210913-1_T5,20210913-1,winter,T5,maze,0.5425414364640884,0.776735459662289,0.411049723756906,0.1428571428571428,182.11973919599453,145.3079553713181,7,2,2.0559696963721508,7,69.78634082984479
winter_20240303-2_T3,20240303-2,winter,T3,maze,0.1949215832710978,0.4206349206349206,0.6235997012696042,0.0407239819004524,479.23788793635697,140.14461251932795,7,1,286.85425288774684,7,376.38603137170867
