unique_trial_ID,season,ID,trial,time_at_edge,total_trial_time,percent_time_at_edge,mean_speed,task,mean_speed_at_edge_cm_s,mean_speed_out_edge_cm_s,total_distance_at_edge_cm,total_distance_out_edge_cm
spring_20201103-5_T10,spring,20201103-5,T10,58429.7,237195.933333333,24.6335167634971,10.500528734746425,cue,17.801330445013583,8.114263466769462,1040.1263975030104,1450.5563162286517
spring_20201103-5_T2,spring,20201103-5,T2,12554.0333333333,54450.9333333333,23.0556807107071,34.90656851421606,cue,70.86204491990812,24.132829900787957,889.6044739926903,1011.0907610703235
spring_20201103-5_T3,spring,20201103-5,T3,13993.5333333333,63212.6,22.137253226941,19.80032966071051,cue,40.29575946888466,13.973248823439894,563.8800533198199,687.7502653908094
spring_20201103-5_T4,spring,20201103-5,T4,21315.7666666667,204575.2,10.4195262508196,6.049374604967517,cue,25.539545679510177,3.7823811336808126,544.3949964771138,693.1570232090369
spring_20201103-5_T5,spring,20201103-5,T5,149590.5,769647,19.4362480461822,5.129870333224049,cue,10.31333157245854,3.8793446819201587,1542.776426589859,2405.412885765026
spring_20201103-5_T6,spring,20201103-5,T6,104806.466666667,426811,24.5557088891024,8.56081483376518,cue,13.836648134517713,6.843629546805831,1450.170201488726,2203.6797385254226
spring_20201103-5_T7,spring,20201103-5,T7,44783.1333333333,164798,27.1745611799496,12.19132422842074,cue,20.354711418483323,9.145184469755888,911.547755415461,1097.5580947798235
spring_20201103-5_T8,spring,20201103-5,T8,182518.466666667,759037.533333333,24.046039708357,6.540530900409038,cue,11.219222863362555,5.059317645795774,2047.7153542125438,2916.7930871243784
spring_20201103-5_T9,spring,20201103-5,T9,6176.63333333333,49680.0333333333,12.4328284803888,28.173329051758145,cue,87.47521736633091,19.753618866039297,540.3023434254584,859.3495829768536
spring_20201106-1_T1,spring,20201106-1,T1,17858.0666666667,148553.5,12.0213032117498,6.928516246389017,cue,22.23751285909823,4.836713379702256,397.1189871386335,632.1363510693176
spring_20201106-1_T10,spring,20201106-1,T10,16929.7333333333,132963.333333333,12.7326330567324,9.103267808819266,cue,21.391792842346753,7.310326351537803,362.1573483428392,848.2434837437967
spring_20201106-1_T2,spring,20201106-1,T2,6222.16666666667,48763.5,12.7598852967212,12.83142336811484,cue,40.16267042079589,8.833909396535255,249.8988291365955,375.8062842744718
spring_20201106-1_T3,spring,20201106-1,T3,57325.2,85768.2,66.8373593009997,21.531541092893605,cue,18.03824898651462,28.572066658290844,1034.046230801748,812.6752919617666
spring_20201106-1_T4,spring,20201106-1,T4,10278.3333333333,41317.5,24.8764647748129,37.21610034464701,cue,64.53600706318765,28.169365588385297,663.3225925977972,874.3536333921559
spring_20201106-1_T5,spring,20201106-1,T5,211128.466666667,303668.2,69.5260375194593,3.3592582120888226,cue,2.1943582688122296,6.01696566363476,463.2914966116472,556.8083979885836
spring_20201106-1_T6,spring,20201106-1,T6,8286.13333333333,67301.5,12.3119593669284,11.825430810508768,cue,35.991801506178746,8.432318455584024,298.2328661870646,497.6363655063915
spring_20201106-1_T7,spring,20201106-1,T7,45218.0666666667,153469.833333333,29.4638142783761,13.777671496180655,cue,18.98084106115937,11.604244904523636,858.2769364929082,1256.1800117473479
spring_20201106-1_T8,spring,20201106-1,T8,25830.1333333333,79606.8333333333,32.4471307948857,28.223298898397083,cue,38.67076261284182,23.20515199203669,998.8709543913858,1247.8964971301596
spring_20201106-1_T9,spring,20201106-1,T9,104265.8,1106091.03333333,9.42651163944282,2.208042446819069,cue,8.184691661393854,1.586017675488841,853.3834238285593,1588.9125278173983
